date_GMT,attendance,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,stadium_name
Dec 02 2018 - 4:15pm,51756,Liverpool,Everton,1,0,Anfield (Liverpool)
Dec 04 2018 - 7:45pm,9980,AFC Bournemouth,Huddersfield Town,2,1,Vitality Stadium (Bournemouth- Dorset)
Dec 04 2018 - 7:45pm,29663,Brighton & Hove Albion,Crystal Palace,3,1,The American Express Community Stadium (Falmer- East Sussex)
Dec 04 2018 - 7:45pm,56811,West Ham United,Cardiff City,3,1,London Stadium (London)
Dec 04 2018 - 8:00pm,20389,Watford,Manchester City,1,2,Vicarage Road (Watford)
Dec 05 2018 - 7:45pm,21741,Burnley,Liverpool,1,3,Turf Moor (Burnley)
Dec 05 2018 - 7:45pm,22881,Fulham,Leicester City,1,1,Craven Cottage (London)
Dec 05 2018 - 7:45pm,31300,Wolverhampton Wanderers,Chelsea,2,1,Molineux Stadium (Wolverhampton- West Midlands)
Dec 05 2018 - 7:45pm,39350,Everton,Newcastle United,1,1,Goodison Park (Liverpool)
Dec 05 2018 - 8:00pm,74507,Manchester United,Arsenal,2,2,Old Trafford (Manchester)
Dec 05 2018 - 8:00pm,33012,Tottenham Hotspur,Southampton,3,1,Wembley Stadium (London)
Dec 08 2018 - 12:30pm,10752,AFC Bournemouth,Liverpool,0,4,Vitality Stadium (Bournemouth- Dorset)
Dec 08 2018 - 3:00pm,59893,Arsenal,Huddersfield Town,1,0,Emirates Stadium (London)
Dec 08 2018 - 3:00pm,18497,Burnley,Brighton & Hove Albion,1,0,Turf Moor (Burnley)
Dec 08 2018 - 3:00pm,30067,Cardiff City,Southampton,1,0,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 08 2018 - 3:00pm,74523,Manchester United,Fulham,4,1,Old Trafford (Manchester)
Dec 08 2018 - 3:00pm,56995,West Ham United,Crystal Palace,3,2,London Stadium (London)
Dec 08 2018 - 5:30pm,40571,Chelsea,Manchester City,2,0,Stamford Bridge (London)
Dec 08 2018 - 7:45pm,31957,Leicester City,Tottenham Hotspur,0,2,King Power Stadium (Leicester- Leicestershire)
Dec 09 2018 - 4:00pm,50223,Newcastle United,Wolverhampton Wanderers,1,2,St. James' Park (Newcastle upon Tyne)
Dec 10 2018 - 8:00pm,38400,Everton,Watford,2,2,Goodison Park (Liverpool)
Dec 15 2018 - 12:30pm,54173,Manchester City,Everton,3,1,Etihad Stadium (Manchester)
Dec 15 2018 - 3:00pm,24738,Crystal Palace,Leicester City,1,0,Selhurst Park (London)
Dec 15 2018 - 3:00pm,24036,Huddersfield Town,Newcastle United,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 15 2018 - 3:00pm,41645,Tottenham Hotspur,Burnley,1,0,Wembley Stadium (London)
Dec 15 2018 - 3:00pm,20032,Watford,Cardiff City,3,2,Vicarage Road (Watford)
Dec 15 2018 - 3:00pm,30997,Wolverhampton Wanderers,AFC Bournemouth,2,0,Molineux Stadium (Wolverhampton- West Midlands)
Dec 15 2018 - 5:30pm,24081,Fulham,West Ham United,0,2,Craven Cottage (London)
Dec 16 2018 - 1:30pm,30645,Brighton & Hove Albion,Chelsea,1,2,The American Express Community Stadium (Falmer- East Sussex)
Dec 16 2018 - 1:30pm,29497,Southampton,Arsenal,3,2,St. Mary's Stadium (Southampton- Hampshire)
Dec 16 2018 - 4:00pm,52908,Liverpool,Manchester United,3,1,Anfield (Liverpool)
Dec 21 2018 - 8:00pm,31358,Wolverhampton Wanderers,Liverpool,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Dec 22 2018 - 12:30pm,59493,Arsenal,Burnley,3,1,Emirates Stadium (London)
Dec 22 2018 - 3:00pm,10491,AFC Bournemouth,Brighton & Hove Albion,2,0,Vitality Stadium (Bournemouth- Dorset)
Dec 22 2018 - 3:00pm,40558,Chelsea,Leicester City,0,1,Stamford Bridge (London)
Dec 22 2018 - 3:00pm,22394,Huddersfield Town,Southampton,1,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 22 2018 - 3:00pm,54340,Manchester City,Crystal Palace,2,3,Etihad Stadium (Manchester)
Dec 22 2018 - 3:00pm,51237,Newcastle United,Fulham,0,0,St. James' Park (Newcastle upon Tyne)
Dec 22 2018 - 3:00pm,56833,West Ham United,Watford,0,2,London Stadium (London)
Dec 22 2018 - 5:30pm,33028,Cardiff City,Manchester United,1,5,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 23 2018 - 4:00pm,39319,Everton,Tottenham Hotspur,2,6,Goodison Park (Liverpool)
Dec 26 2018 - 12:30pm,24382,Fulham,Wolverhampton Wanderers,1,1,Craven Cottage (London)
Dec 26 2018 - 3:00pm,21484,Burnley,Everton,1,5,Turf Moor (Burnley)
Dec 26 2018 - 3:00pm,25206,Crystal Palace,Cardiff City,0,0,Selhurst Park (London)
Dec 26 2018 - 3:00pm,32090,Leicester City,Manchester City,2,1,King Power Stadium (Leicester- Leicestershire)
Dec 26 2018 - 3:00pm,53318,Liverpool,Newcastle United,4,0,Anfield (Liverpool)
Dec 26 2018 - 3:00pm,74523,Manchester United,Huddersfield Town,3,1,Old Trafford (Manchester)
Dec 26 2018 - 3:00pm,45154,Tottenham Hotspur,AFC Bournemouth,5,0,Wembley Stadium (London)
Dec 26 2018 - 5:15pm,30608,Brighton & Hove Albion,Arsenal,1,1,The American Express Community Stadium (Falmer- East Sussex)
Dec 26 2018 - 7:30pm,20415,Watford,Chelsea,1,2,Vicarage Road (Watford)
Dec 27 2018 - 7:45pm,31654,Southampton,West Ham United,1,2,St. Mary's Stadium (Southampton- Hampshire)
Dec 29 2018 - 3:00pm,30597,Brighton & Hove Albion,Everton,1,0,The American Express Community Stadium (Falmer- East Sussex)
Dec 29 2018 - 3:00pm,24423,Fulham,Huddersfield Town,1,0,Craven Cottage (London)
Dec 29 2018 - 3:00pm,32047,Leicester City,Cardiff City,0,1,King Power Stadium (Leicester- Leicestershire)
Dec 29 2018 - 3:00pm,46356,Tottenham Hotspur,Wolverhampton Wanderers,1,3,Wembley Stadium (London)
Dec 29 2018 - 3:00pm,20336,Watford,Newcastle United,1,1,Vicarage Road (Watford)
Dec 29 2018 - 5:30pm,53326,Liverpool,Arsenal,5,1,Anfield (Liverpool)
Dec 30 2018 - 12:00pm,25781,Crystal Palace,Chelsea,0,1,Selhurst Park (London)
Dec 30 2018 - 2:15pm,20933,Burnley,West Ham United,2,0,Turf Moor (Burnley)
Dec 30 2018 - 2:15pm,31381,Southampton,Manchester City,1,3,St. Mary's Stadium (Southampton- Hampshire)
Dec 30 2018 - 4:30pm,74556,Manchester United,AFC Bournemouth,4,1,Old Trafford (Manchester)
Jan 01 2019 - 12:30pm,39052,Everton,Leicester City,0,1,Goodison Park (Liverpool)
Jan 01 2019 - 3:00pm,59887,Arsenal,Fulham,4,1,Emirates Stadium (London)
Jan 01 2019 - 5:30pm,32485,Cardiff City,Tottenham Hotspur,0,3,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 02 2019 - 7:45pm,40668,Chelsea,Southampton,0,0,Stamford Bridge (London)
Jan 02 2019 - 7:45pm,23715,Huddersfield Town,Burnley,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 02 2019 - 7:45pm,59870,West Ham United,Brighton & Hove Albion,2,2,London Stadium (London)
Jan 02 2019 - 7:45pm,30666,Wolverhampton Wanderers,Crystal Palace,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Jan 02 2019 - 8:00pm,10261,AFC Bournemouth,Watford,3,3,Vitality Stadium (Bournemouth- Dorset)
Jan 02 2019 - 8:00pm,52217,Newcastle United,Manchester United,0,2,St. James' Park (Newcastle upon Tyne)
Jan 03 2019 - 8:00pm,54511,Manchester City,Liverpool,2,1,Etihad Stadium (Manchester)
Jan 12 2019 - 12:30pm,59946,West Ham United,Arsenal,1,0,London Stadium (London)
Jan 12 2019 - 3:00pm,30862,Brighton & Hove Albion,Liverpool,0,1,The American Express Community Stadium (Falmer- East Sussex)
Jan 12 2019 - 3:00pm,19316,Burnley,Fulham,2,1,Turf Moor (Burnley)
Jan 12 2019 - 3:00pm,30725,Cardiff City,Huddersfield Town,0,0,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 12 2019 - 3:00pm,25010,Crystal Palace,Watford,1,2,Selhurst Park (London)
Jan 12 2019 - 3:00pm,31491,Leicester City,Southampton,1,2,King Power Stadium (Leicester- Leicestershire)
Jan 12 2019 - 5:30pm,40491,Chelsea,Newcastle United,2,1,Stamford Bridge (London)
Jan 13 2019 - 2:15pm,38113,Everton,AFC Bournemouth,2,0,Goodison Park (Liverpool)
Jan 13 2019 - 4:30pm,80062,Tottenham Hotspur,Manchester United,0,1,Wembley Stadium (London)
Jan 14 2019 - 8:00pm,54171,Manchester City,Wolverhampton Wanderers,3,0,Etihad Stadium (Manchester)
Jan 19 2019 - 12:30pm,31278,Wolverhampton Wanderers,Leicester City,4,3,Molineux Stadium (Wolverhampton- West Midlands)
Jan 19 2019 - 3:00pm,10495,AFC Bournemouth,West Ham United,2,0,Vitality Stadium (Bournemouth- Dorset)
Jan 19 2019 - 3:00pm,53171,Liverpool,Crystal Palace,4,3,Anfield (Liverpool)
Jan 19 2019 - 3:00pm,74532,Manchester United,Brighton & Hove Albion,2,1,Old Trafford (Manchester)
Jan 19 2019 - 3:00pm,49864,Newcastle United,Cardiff City,3,0,St. James' Park (Newcastle upon Tyne)
Jan 19 2019 - 3:00pm,29989,Southampton,Everton,2,1,St. Mary's Stadium (Southampton- Hampshire)
Jan 19 2019 - 3:00pm,19510,Watford,Burnley,0,0,Vicarage Road (Watford)
Jan 19 2019 - 5:30pm,59979,Arsenal,Chelsea,2,0,Emirates Stadium (London)
Jan 20 2019 - 1:30pm,24190,Huddersfield Town,Manchester City,0,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 20 2019 - 4:00pm,24807,Fulham,Tottenham Hotspur,1,2,Craven Cottage (London)
Jan 29 2019 - 7:45pm,59933,Arsenal,Cardiff City,2,1,Emirates Stadium (London)
Jan 29 2019 - 7:45pm,22008,Fulham,Brighton & Hove Albion,4,2,Craven Cottage (London)
Jan 29 2019 - 7:45pm,23699,Huddersfield Town,Everton,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 29 2019 - 7:45pm,31122,Wolverhampton Wanderers,West Ham United,3,0,Molineux Stadium (Wolverhampton- West Midlands)
Jan 29 2019 - 8:00pm,74529,Manchester United,Burnley,2,2,Old Trafford (Manchester)
Jan 29 2019 - 8:00pm,50861,Newcastle United,Manchester City,2,1,St. James' Park (Newcastle upon Tyne)
Jan 30 2019 - 7:45pm,10227,AFC Bournemouth,Chelsea,4,0,Vitality Stadium (Bournemouth- Dorset)
Jan 30 2019 - 7:45pm,28339,Southampton,Crystal Palace,1,1,St. Mary's Stadium (Southampton- Hampshire)
Jan 30 2019 - 8:00pm,53092,Liverpool,Leicester City,1,1,Anfield (Liverpool)
Jan 30 2019 - 8:00pm,29164,Tottenham Hotspur,Watford,2,1,Wembley Stadium (London)
Feb 02 2019 - 12:30pm,41219,Tottenham Hotspur,Newcastle United,1,0,Wembley Stadium (London)
Feb 02 2019 - 3:00pm,30414,Brighton & Hove Albion,Watford,0,0,The American Express Community Stadium (Falmer- East Sussex)
Feb 02 2019 - 3:00pm,19787,Burnley,Southampton,1,1,Turf Moor (Burnley)
Feb 02 2019 - 3:00pm,40626,Chelsea,Huddersfield Town,5,0,Stamford Bridge (London)
Feb 02 2019 - 3:00pm,25355,Crystal Palace,Fulham,2,0,Selhurst Park (London)
Feb 02 2019 - 3:00pm,39380,Everton,Wolverhampton Wanderers,1,3,Goodison Park (Liverpool)
Feb 02 2019 - 5:30pm,31939,Cardiff City,AFC Bournemouth,2,0,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 03 2019 - 2:05pm,32148,Leicester City,Manchester United,0,1,King Power Stadium (Leicester- Leicestershire)
Feb 03 2019 - 4:30pm,54483,Manchester City,Arsenal,3,1,Etihad Stadium (Manchester)
Feb 04 2019 - 8:00pm,59903,West Ham United,Liverpool,1,1,London Stadium (London)
Feb 06 2019 - 7:45pm,39322,Everton,Manchester City,0,2,Goodison Park (Liverpool)
Feb 09 2019 - 12:30pm,25001,Fulham,Manchester United,0,3,Craven Cottage (London)
Feb 09 2019 - 3:00pm,25552,Crystal Palace,West Ham United,1,1,Selhurst Park (London)
Feb 09 2019 - 3:00pm,24182,Huddersfield Town,Arsenal,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
