full_name,age,position,Current Club,nationality,appearances_overall,goals_overall,assists_overall
DeAndre Yedlin,29,Defender,Newcastle United,USA,29,1,2
Declan Rice,23,Midfielder,West Ham United,Republic of Ireland,34,2,0
Dejan Lovren,33,Defender,Liverpool,Croatia,13,1,0
Dele Alli,26,Midfielder,Tottenham Hotspur,England,25,5,3
Demarai Gray,26,Midfielder,Leicester City,England,34,4,1
Demeaco Duhaney,24,Defender,Huddersfield Town,England,1,0,0
Denis Odoi,34,Defender,Fulham,Belgium,31,0,1
Denis Su?rez,28,Midfielder,Arsenal,Spain,4,0,0
Diego Rico,29,Defender,AFC Bournemouth,Spain,12,0,0
Diogo Dalot,23,Defender,Manchester United,Portugal,16,0,2
Diogo Jos? Teixeira da Silva,25,Midfielder,Wolverhampton Wanderers,Portugal,33,9,5
Divock Origi,27,Forward,Liverpool,Belgium,12,3,1
Domingos Quina,22,Midfielder,Watford,Portugal,8,1,0
Dominic Calvert-Lewin,25,Forward,Everton,England,35,6,2
Dominic Solanke,25,Forward,AFC Bournemouth,England,10,0,1
Dwight McNeil,22,Forward,Burnley,England,21,3,5
Eden Hazard,31,Midfielder,Chelsea,Belgium,37,16,15
Ederson,29,Goalkeeper,Manchester City,Brazil,38,0,1
Edward Nketiah,23,Forward,Arsenal,England,5,1,0
Elias Kachunga,30,Forward,Huddersfield Town,Congo DR,20,0,0
Emerson Hyndman,26,Midfielder,AFC Bournemouth,USA,1,0,0
Emerson Palmieri,28,Defender,Chelsea,Italy,10,0,0
Emile Smith Rowe,22,Midfielder,Arsenal,England,0,0,0
Emiliano Mart?nez,30,Goalkeeper,Arsenal,Argentina,0,0,0
Eric Bailly,28,Defender,Manchester United,Ivory Coast,12,0,0
Eric Dier,28,Midfielder,Tottenham Hotspur,England,20,3,0
Erik Durm,30,Defender,Huddersfield Town,Germany,28,0,1
Erik Lamela,30,Midfielder,Tottenham Hotspur,Argentina,19,4,2
Ethan Ampadu,22,Midfielder,Chelsea,Wales,0,0,0
?tienne Capoue,34,Midfielder,Watford,France,33,1,3
Fabi?n Balbuena,31,Defender,West Ham United,Paraguay,23,1,0
Fabian Delph,32,Midfielder,Manchester City,England,11,0,1
Fabian Sch?r,30,Defender,Newcastle United,Switzerland,24,4,1
Fabinho,29,Midfielder,Liverpool,Brazil,28,1,2
Fabricio Mart?n Agosto Ram?rez,34,Goalkeeper,Fulham,Spain,2,0,0
Faustino Marcos Alberto Rojo,32,Defender,Manchester United,Argentina,5,0,0
Federico Fern?ndez,33,Defender,Newcastle United,Argentina,19,0,1
Felipe Anderson,29,Midfielder,West Ham United,Brazil,36,9,4
Fernandinho,37,Midfielder,Manchester City,Brazil,29,1,3
Fernando Llorente Torres,37,Forward,Tottenham Hotspur,Spain,20,1,4
Florent Hadergjonaj,28,Defender,Huddersfield Town,Switzerland,24,0,0
Florian Lejeune,31,Defender,Newcastle United,France,12,0,0
Florin Andone,29,Forward,Brighton & Hove Albion,Romania,23,3,0
Floyd Ayit?,33,Midfielder,Fulham,Togo,16,1,0
Fousseni Diabat?,27,Midfielder,Leicester City,Mali,1,0,0
Fraser Forster,34,Goalkeeper,Southampton,England,1,0,0
Fred,29,Midfielder,Manchester United,Brazil,17,1,1
Freddie Woodman,25,Goalkeeper,Newcastle United,England,0,0,0
Gabriel Jesus,25,Forward,Manchester City,Brazil,29,7,3
Ga?tan Bong Songo,34,Defender,Brighton & Hove Albion,Cameroon,22,0,0
Gary Cahill,36,Defender,Chelsea,England,2,0,0
Gary Madine,32,Forward,Cardiff City,England,5,0,0
George Marsh,23,Midfielder,Tottenham Hotspur,England,0,0,0
Georges-Kevin N'Koudou Mbida,27,Forward,Tottenham Hotspur,France,1,0,1
Georginio Wijnaldum,31,Midfielder,Liverpool,Netherlands,35,3,0
Gerard Deulofeu,28,Forward,Watford,Spain,30,10,5
Glenn Murray,39,Forward,Brighton & Hove Albion,England,38,13,1
Gonzalo Higuain,34,Forward,Chelsea,Argentina,14,5,0
Grady Diangana,24,Midfielder,West Ham United,England,17,0,1
Granit Xhaka,30,Midfielder,Arsenal,Switzerland,29,4,2
Greg Cunningham,31,Defender,Cardiff City,Republic of Ireland,7,0,0
Gylfi Sigurdsson,33,Midfielder,Everton,Iceland,38,13,6
Hamza Choudhury,25,Midfielder,Leicester City,England,9,0,0
Harry Arter,32,Midfielder,Cardiff City,Republic of Ireland,25,0,1
Harry Kane,29,Forward,Tottenham Hotspur,England,28,17,4
Harry Maguire,29,Defender,Leicester City,England,31,3,0
Harry Winks,26,Midfielder,Tottenham Hotspur,England,26,1,0
Harvey Barnes,24,Midfielder,Leicester City,England,16,1,2
H?vard Nordtveit,32,Midfielder,Fulham,Norway,5,0,1
Hector Bellerin,27,Defender,Arsenal,Spain,19,0,5
H?lder Wander Sousa Azevedo Costa,28,Midfielder,Wolverhampton Wanderers,Portugal,25,1,2
Henrikh Mkhitaryan,33,Midfielder,Arsenal,Armenia,25,6,4
Heung-Min Son,30,Forward,Tottenham Hotspur,South Korea,31,12,6
Heurelho da Silva Gomes,41,Goalkeeper,Watford,Brazil,0,0,0
Hugo Lloris,35,Goalkeeper,Tottenham Hotspur,France,33,0,0
Ibrahima Ciss?,28,Midfielder,Fulham,Belgium,3,0,0
Idrissa Gueye,33,Midfielder,Everton,Senegal,33,0,2
?lkay G?ndo?an,32,Midfielder,Manchester City,Germany,31,6,3
Isaac Hayden,27,Midfielder,Newcastle United,England,25,1,4
Isaac Mbenza,26,Forward,Huddersfield Town,Belgium,22,1,1
Isaac Success,26,Forward,Watford,Nigeria,30,1,1
Issa Diop,25,Defender,West Ham United,France,33,1,0
Ivan Ricardo Neves Abreu Cavaleiro,29,Forward,Wolverhampton Wanderers,Portugal,23,3,1
Jack Cork,33,Midfielder,Burnley,England,37,1,2
Jack Simpson,25,Defender,AFC Bournemouth,England,6,0,0
Jack Stephens,28,Defender,Southampton,England,24,1,0
Jack Wilshere,30,Midfielder,West Ham United,England,8,0,1
Jacob Murphy,27,Midfielder,Newcastle United,England,9,0,1
Ja?ro Riedewald,26,Defender,Crystal Palace,Netherlands,0,0,0
Jamaal Lascelles,28,Defender,Newcastle United,England,32,0,1
James Garner,21,Defender,Manchester United,England,1,0,0
James Maddison,25,Midfielder,Leicester City,England,36,7,7
James McArthur,35,Midfielder,Crystal Palace,Scotland,38,3,6
James McCarthy,31,Midfielder,Everton,Republic of Ireland,1,0,0
James Milner,36,Midfielder,Liverpool,England,31,5,4
James Tarkowski,29,Defender,Burnley,England,35,3,1
James Tomkins,33,Defender,Crystal Palace,England,29,1,1
James Ward-Prowse,27,Midfielder,Southampton,England,26,7,0
Jamie Sterry,26,Defender,Newcastle United,England,0,0,0
Jamie Vardy,35,Forward,Leicester City,England,34,18,4
Jan Bednarek,26,Defender,Southampton,Poland,25,0,1
Jan Vertonghen,35,Defender,Tottenham Hotspur,Belgium,22,1,0
Jannik Vestergaard,30,Defender,Southampton,Denmark,23,0,0
Jason Puncheon,36,Midfielder,Huddersfield Town,England,11,0,0
Jason Steele,32,Goalkeeper,Brighton & Hove Albion,England,0,0,0
Javier Hernandez,34,Forward,West Ham United,Mexico,25,7,1
Javier Manquillo,28,Defender,Newcastle United,Spain,18,0,3
Jayson Molumby,23,Midfielder,Brighton & Hove Albion,Republic of Ireland,0,0,0
Jazz Richards,31,Defender,Cardiff City,Wales,4,0,0
Jean Michau00ebl Seri,31,Midfielder,Fulham,Ivory Coast,32,1,2
Jeff Hendrick,30,Midfielder,Burnley,Republic of Ireland,32,3,0
Jefferson Lerma,28,Midfielder,AFC Bournemouth,Colombia,30,2,0
Jeffrey Schlupp,29,Defender,Crystal Palace,Ghana,30,4,1
Jermain Defoe,40,Forward,AFC Bournemouth,England,4,0,0
Jesse Lingard,29,Midfielder,Manchester United,England,27,4,2
Jo?o Moutinho,36,Midfielder,Wolverhampton Wanderers,Portugal,38,1,8
Joe Bennett,32,Defender,Cardiff City,England,30,0,1
Joe Bryan,29,Defender,Fulham,England,28,0,1
Joe Daniel Tupper,24,Goalkeeper,Crystal Palace,England,0,0,0
Joe Gomez,25,Defender,Liverpool,England,16,0,0
Joe Hart,35,Goalkeeper,Burnley,England,19,0,0
Joe Powell,24,Forward,West Ham United,England,0,0,0
Joe Ralls,29,Midfielder,Cardiff City,England,28,0,0
Joel Coleman,27,Goalkeeper,Huddersfield Town,England,1,0,0
Joel Matip,31,Defender,Liverpool,Cameroon,22,1,0
Joel Ward,32,Defender,Crystal Palace,England,7,1,0
Johann Berg Gu©£munds¡©son,32,Midfielder,Burnley,Iceland,29,3,6
John Ruddy,36,Goalkeeper,Wolverhampton Wanderers,England,1,0,0
John Stones,28,Defender,Manchester City,England,24,0,0
Jon Gorenc Stankovi?,26,Defender,Huddersfield Town,Slovenia,11,1,0
Jonas L?ssl,33,Goalkeeper,Huddersfield Town,Denmark,31,0,1
Jonathan Hogg,33,Midfielder,Huddersfield Town,England,29,0,1
Jonathan Walters,39,Forward,Burnley,Republic of Ireland,0,0,0
Jonjo Shelvey,30,Midfielder,Newcastle United,England,16,1,1
Jonjoe Kenny,25,Defender,Everton,England,10,0,1
Jonny,28,Defender,Wolverhampton Wanderers,Spain,33,1,1
Jonny Evans,34,Defender,Leicester City,Northern Ireland,24,1,0
Jordan Ayew,31,Forward,Crystal Palace,Ghana,20,1,2
Jordan Henderson,32,Midfielder,Liverpool,England,32,1,3
Jordan Pickford,28,Goalkeeper,Everton,England,38,0,0
Jordon Ibe,26,Midfielder,AFC Bournemouth,England,19,1,1
Jorginho,30,Midfielder,Chelsea,Italy,37,2,0
Jos? Holebas,38,Defender,Watford,Greece,28,3,6
Jose Izquierdo,30,Forward,Brighton & Hove Albion,Colombia,15,0,1
Joselu,32,Forward,Newcastle United,Spain,16,2,0
Joseph Willock,23,Midfielder,Arsenal,England,2,0,0
Josh Benson,22,Midfielder,Burnley,England,0,0,0
Josh Knight,25,Defender,Leicester City,England,0,0,0
Josh Murphy,27,Forward,Cardiff City,England,29,3,2
Joshua King,30,Forward,AFC Bournemouth,Norway,35,12,3
Joshua Sims,25,Midfielder,Southampton,England,7,0,1
Juan Foyth,24,Defender,Tottenham Hotspur,Argentina,12,1,0
Juan Mata,34,Midfielder,Manchester United,Spain,22,3,2
Juli?n Speroni,43,Goalkeeper,Crystal Palace,Argentina,1,0,0
Juninho Bacuna,25,Midfielder,Huddersfield Town,Netherlands,21,1,0
Junior Stanislas,32,Midfielder,AFC Bournemouth,England,23,2,3
J?rgen Locadia,28,Forward,Brighton & Hove Albion,Netherlands,26,2,0
Kadeem Harris,29,Midfielder,Cardiff City,England,13,1,0
Karl Darlow,32,Goalkeeper,Newcastle United,England,0,0,0
Karlan Ahearne-Grant,24,Forward,Huddersfield Town,England,13,4,0
Kasper Schmeichel,35,Goalkeeper,Leicester City,Denmark,38,0,0
Kayne Ramsey,22,Midfielder,Southampton,England,1,0,0
Kazaiah Sterling,23,Forward,Tottenham Hotspur,England,0,0,0
Kelechi Iheanacho,26,Forward,Leicester City,Nigeria,30,1,3
Kelland Watts,23,Midfielder,Newcastle United,England,0,0,0
Ken Sema,29,Midfielder,Watford,Sweden,17,1,2
Kenneth Dahrup Zohor?,28,Forward,Cardiff City,Denmark,19,1,1
Kepa Arrizabalaga,28,Goalkeeper,Chelsea,Spain,36,0,0
Kevin De Bruyne,31,Midfielder,Manchester City,Belgium,19,2,2
Kevin Long,32,Defender,Burnley,Republic of Ireland,6,0,1
Kevin McDonald,33,Midfielder,Fulham,Scotland,15,0,0
Ki Sung-yueng,33,Midfielder,Newcastle United,South Korea,18,0,1
Kieran Dowell,25,Midfielder,Everton,England,0,0,0
Kieran Trippier,32,Defender,Tottenham Hotspur,England,27,1,3
Kiko Femen?a,31,Midfielder,Watford,Spain,29,1,1
Konstantinos Mavropanos,24,Defender,Arsenal,Greece,4,0,0
Kortney Hause,27,Defender,Wolverhampton Wanderers,England,0,0,0
Kurt Zouma,28,Defender,Everton,France,32,2,2
Kyle Taylor,23,Midfielder,AFC Bournemouth,England,0,0,0
Kyle Walker,32,Defender,Manchester City,England,33,1,1
Kyle Walker-Peters,25,Defender,Tottenham Hotspur,England,6,0,3
Laurent Depoitre,33,Forward,Huddersfield Town,Belgium,23,0,1
Laurent Koscielny,37,Defender,Arsenal,France,17,3,0
Lazar Markovi?,28,Midfielder,Fulham,Serbia,1,0,0
Leander Dendoncker,27,Midfielder,Wolverhampton Wanderers,Belgium,19,2,0
Leandro Bacuna,31,Midfielder,Cardiff City,Cura?ao,11,0,0
Lee Grant,39,Goalkeeper,Manchester United,England,0,0,0
Lee Peltier,35,Defender,Cardiff City,England,20,0,0
Leighton Baines,37,Defender,Everton,England,6,0,0
Leon Balogun,34,Defender,Brighton & Hove Albion,Nigeria,8,1,0
Leonardo Bonatini Lohner Maia,28,Forward,Wolverhampton Wanderers,Brazil,7,0,1
Leroy San?,26,Midfielder,Manchester City,Germany,31,10,10
Lewis Cass,22,Defender,Newcastle United,England,0,0,0
Lewis Cook,25,Midfielder,AFC Bournemouth,England,13,0,0
Lewis Dunk,30,Defender,Brighton & Hove Albion,England,36,2,1
Lo?c Damour,31,Midfielder,Cardiff City,France,2,0,0
Loris Karius,29,Goalkeeper,Liverpool,Germany,0,0,0
Luca de la Torre,24,Midfielder,Fulham,USA,0,0,0
Lucas Digne,29,Defender,Everton,France,35,4,4
Lucas Moura,30,Midfielder,Tottenham Hotspur,Brazil,32,10,0
Lucas Perez,34,Forward,West Ham United,Spain,15,3,0
Lucas Torreira,26,Midfielder,Arsenal,Uruguay,34,2,2
Luciano Vietto,28,Forward,Fulham,Argentina,20,1,4
Luka Milivojevi?,31,Midfielder,Crystal Palace,Serbia,38,12,2
Luke Amos,25,Midfielder,Tottenham Hotspur,England,1,0,0
Luke Dreher,23,Midfielder,Crystal Palace,England,1,0,0
Luke Shaw,27,Defender,Manchester United,England,29,1,4
Lys Mousset,26,Forward,AFC Bournemouth,France,24,1,0
Maarten Stekelenburg,40,Goalkeeper,Everton,Netherlands,0,0,0
Mamadou Sakho,32,Defender,Crystal Palace,France,27,0,0
Manolo Gabbiadini,30,Forward,Southampton,Italy,12,1,0
Manuel Lanzini,29,Midfielder,West Ham United,Argentina,10,1,1
Marc Albrighton,32,Midfielder,Leicester City,England,27,2,2
Marc Guehi,22,Defender,Chelsea,England,0,0,0
Marc Navarro Ceciliano,27,Defender,Watford,Spain,2,0,0
Marc Pugh,35,Midfielder,AFC Bournemouth,England,0,0,0
Marcos Alonso,31,Defender,Chelsea,Spain,31,2,4
Marcus Bettinelli,30,Goalkeeper,Fulham,England,7,0,0
Marcus Rashford,25,Forward,Manchester United,England,33,10,6
Mario Lemina,29,Midfielder,Southampton,Gabon,21,1,1
Mark Noble,35,Midfielder,West Ham United,England,31,5,5
Mark Travers,23,Goalkeeper,AFC Bournemouth,Republic of Ireland,2,0,0
Marko Arnautovi?,33,Forward,West Ham United,Austria,28,10,4
Markus Suttner,35,Defender,Brighton & Hove Albion,Austria,0,0,0
Marouane Fellaini,34,Midfielder,Manchester United,Belgium,14,0,1
Martin D?bravka,33,Goalkeeper,Newcastle United,Slovakia,38,0,0
Martin Kelly,32,Defender,Crystal Palace,England,13,0,0
Mart?n Montoya,31,Defender,Brighton & Hove Albion,Spain,25,0,1
Mason Greenwood,21,Midfielder,Manchester United,England,3,0,0
Mason Holgate,26,Defender,Everton,England,5,0,0
Mat?j Vydra,30,Forward,Burnley,Czech Republic,13,1,1
Mateo Kova?i?,28,Midfielder,Chelsea,Croatia,32,0,2
Mathew Ryan,30,Goalkeeper,Brighton & Hove Albion,Australia,34,0,0
Mathias J©ªrgensen,32,Defender,Huddersfield Town,Denmark,24,3,1
Matt Butcher,25,Midfielder,AFC Bournemouth,England,0,0,0
Matt Doherty,30,Defender,Wolverhampton Wanderers,Republic of Ireland,38,4,5
Matt Ritchie,33,Midfielder,Newcastle United,Scotland,36,2,8
Matt Targett,27,Defender,Southampton,England,16,1,3
Matteo Darmian,32,Defender,Manchester United,Italy,6,0,0
Matteo Guendouzi,23,Midfielder,Arsenal,France,33,0,0
Matthew Connolly,35,Defender,Cardiff City,England,0,0,0
Matthew Lowton,33,Defender,Burnley,England,21,0,0
Matty Daly,21,Midfielder,Huddersfield Town,England,2,0,0
Max Harrison Sanders,23,Midfielder,Brighton & Hove Albion,England,0,0,0
Max Kilman,25,Defender,Wolverhampton Wanderers,England,1,0,0
Max Meyer,27,Midfielder,Crystal Palace,Germany,29,1,2
Maxime Le Marchand,33,Defender,Fulham,France,26,0,1
Maya Yoshida,34,Defender,Southampton,Japan,17,0,1
Mesut ?zil,34,Midfielder,Arsenal,Germany,24,5,2
Michael Keane,29,Defender,Everton,England,33,1,2
Michael Obafemi,22,Forward,Southampton,Republic of Ireland,6,1,1
Michail Antonio,32,Midfielder,West Ham United,England,33,6,4
Michel Vorm,39,Goalkeeper,Tottenham Hotspur,Netherlands,2,0,0
Michy Batshuayi,29,Forward,Crystal Palace,Belgium,11,5,0
Miguel Almir?n,28,Midfielder,Newcastle United,Paraguay,10,0,0
Miguel ?ngel Britos Cabrera,37,Defender,Watford,Uruguay,3,0,0
Mohamed Diam?,35,Midfielder,Newcastle United,Senegal,29,0,0
Mohamed Elneny,30,Midfielder,Arsenal,Egypt,8,0,0
Mohamed Elyounoussi,28,Midfielder,Southampton,Norway,16,0,0
Mohamed Salah,30,Forward,Liverpool,Egypt,38,22,8
Morgan Gibbs-White,22,Midfielder,Wolverhampton Wanderers,England,26,0,1
Morgan Schneiderlin,32,Midfielder,Everton,France,14,0,1
Moussa Dembele,35,Midfielder,Tottenham Hotspur,Belgium,10,0,0
Moussa Sissoko,33,Midfielder,Tottenham Hotspur,France,29,0,3
N'Golo Kant?,31,Midfielder,Chelsea,France,36,4,4
